"GEOID","medincome","total_pop1","fpl_100","fpl_100to150","median_rent","total_hholds1","hholds_snap","over16total_industry1","ag_industry","construct_industry","transpo_and_utilities_industry","total_commute1","drove_commute","pubtrans_total_commute","pubtrans_bus_commute","pubtrans_subway_commute","pubtrans_railroad_commute","pubtrans_ferry_commute","taxi_commute","bicycle_commute","walked_commute","workhome_commute","unemployed","under19_noinsurance","age19_34_noinsurance","age35_64_noinsurance","age65plus_noinsurance","hisplat_raceethnic","nonhispLat_white_raceethnic","nonhispLat_black_raceethnic","nonhispLat_amerindian_raceethnic","nonhispLat_asian_raceethnic","age65_plus","no_vehicles","time_to_work","median_age","geometry","fpl_150","not_insured","age65_plus_share"
"11219",40683,89371,30920,14724,1433,24225,35.59,32693,0.27,7.07,4.76,31733,25.42,40.21,7.78,31.89,0.36,0,0.41,1.38,27.49,3.85,5.43,666,2246,2902,224,13.24,60.95,1.04,0.15,23.72,2034,55.35,34.12,27.7,"MULTIPOLYGON (((-74.0127 40.62902, -74.01097 40.63068, -74.00854 40.63303, -74.00702 40.63211, -74.00796 40.63358, -74.00384 40.63755, -74.00124 40.63598, -74.00052 40.63646, -74.00325 40.6381, -73.99918 40.64203, -73.99773 40.64341, -73.99398 40.6471, -73.98906 40.64412, -73.99193 40.6422, -73.98745 40.6395, -73.98804 40.63895, -73.98525 40.63817, -73.98143 40.63495, -73.99255 40.62427, -73.99728 40.61971, -74.00169 40.62237, -74.00448 40.62315, -74.0061 40.62503, -74.01214 40.62868, -74.0127 40.62902)))",51.07,6.76,2.28
"10021",122169,44280,2279,650,2250,23935,2.32,25030,0,2.04,0.54,24306,11.03,49.53,7.33,40.57,1.28,0.2,5.34,1.21,23.55,8,1.81,568,223,1063,0,6.89,81.38,0.28,0.38,8.54,3162,67.68,27.68,43.5,"MULTIPOLYGON (((-73.95926 40.75928, -73.95881 40.75991, -73.95631 40.76048, -73.95848 40.75854, -73.95881 40.75826, -73.95972 40.75866, -73.95926 40.75928)), ((-73.96515 40.77504, -73.96147 40.77432, -73.95365 40.77102, -73.95186 40.76944, -73.94925 40.76835, -73.94907 40.7686, -73.9482 40.76954, -73.94797 40.76951, -73.95231 40.76456, -73.95361 40.76347, -73.95516 40.76492, -73.96844 40.77052, -73.96515 40.77504)))",6.61,4.19,7.14
"10044",104808,12440,1150,309,2641,4774,7.04,5413,0,0.98,2.09,5344,8.89,82,1.31,77.58,0.19,1.31,0.82,0.11,2.1,4.17,8.24,8,329,481,0,12.89,37.56,11.95,0,34.28,146,75.39,34.91,41.6,"MULTIPOLYGON (((-73.96159 40.74982, -73.96021 40.75203, -73.95902 40.75359, -73.95848 40.75393, -73.95553 40.75724, -73.95384 40.75935, -73.94215 40.77204, -73.94008 40.77276, -73.94056 40.77012, -73.94285 40.7683, -73.95255 40.75711, -73.95692 40.75296, -73.96149 40.74949, -73.96159 40.74982)))",11.73,6.58,1.17
"11213",44831,67056,14988,7617,1257,25504,30.51,31015,0.08,4.38,6.24,29474,16.67,65.58,10.6,53.72,1.15,0.03,0.88,2.09,9.12,5.09,8.93,417,2171,2664,48,11.86,21.95,61.24,0.09,2.19,1451,66.32,38.4,33.7,"MULTIPOLYGON (((-73.94782 40.66878, -73.94773 40.66971, -73.94709 40.67656, -73.94457 40.6758, -73.94189 40.67605, -73.94121 40.67994, -73.9374 40.67973, -73.93435 40.67956, -73.92906 40.67928, -73.93046 40.67582, -73.925 40.67474, -73.92554 40.66849, -73.92439 40.66638, -73.92638 40.66551, -73.92854 40.66457, -73.93068 40.66362, -73.93161 40.66356, -73.94003 40.66302, -73.9427 40.66405, -73.94253 40.66584, -73.94807 40.66614, -73.94782 40.66878)))",33.71,7.9,2.16
"11424",NA,0,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,"MULTIPOLYGON (((-73.83098 40.71431, -73.82698 40.71539, -73.8257 40.71606, -73.82557 40.71578, -73.82428 40.71383, -73.82712 40.71271, -73.83098 40.71431)))",NA,NA,NA
"10005",189702,8701,823,137,3356,4363,0,6799,0.07,0.9,0.53,6773,2.16,62.42,0,60.21,1.28,0.93,1.64,0,29.48,4.3,3.19,30,116,78,1,6.34,71.67,1.06,0,17.73,7,89.09,23.1,30.3,"MULTIPOLYGON (((-74.01251 40.70677, -74.01125 40.7083, -74.0102 40.70769, -74.00983 40.70812, -74.01085 40.7088, -74.01054 40.70915, -74.00913 40.70929, -74.00865 40.70734, -74.00456 40.7051, -74.00785 40.70311, -74.00903 40.70531, -74.01147 40.70503, -74.01251 40.70677)))",11.03,2.59,0.08
"10311",NA,0,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,"MULTIPOLYGON (((-74.18058 40.60602, -74.17918 40.60787, -74.17696 40.60599, -74.17738 40.60504, -74.18041 40.60293, -74.18246 40.60421, -74.18058 40.60602)))",NA,NA,NA
"10280",182760,9496,462,321,3389,4558,2.52,6192,0,0.24,2.68,6139,6.78,49.99,1.12,45.35,2.95,0.57,4.35,1.22,30.25,6.04,2.7,97,0,144,23,11.36,65.8,2.49,0,16.28,470,76.7,26.96,38.9,"MULTIPOLYGON (((-74.01949 40.70691, -74.01859 40.7122, -74.01639 40.71311, -74.01721 40.71354, -74.0162 40.71477, -74.0137 40.71367, -74.0147 40.70978, -74.01596 40.70668, -74.01757 40.70684, -74.01865 40.70533, -74.01949 40.70691)))",8.25,2.78,4.95
"11365",67642,44738,5462,3780,1581,15705,10.36,20775,0.08,8.32,6.83,20099,56.14,37.8,14.65,21.82,1.1,0,0,0,2.95,2.38,9.88,314,1480,1978,69,20.44,23.99,8.15,0.25,44.14,938,19.29,44.11,41.4,"MULTIPOLYGON (((-73.81416 40.74614, -73.80751 40.75014, -73.80288 40.74978, -73.79802 40.74873, -73.79729 40.74943, -73.79566 40.75024, -73.79481 40.74842, -73.7923 40.74837, -73.78121 40.75151, -73.78009 40.75249, -73.77981 40.75189, -73.78001 40.75007, -73.7785 40.74688, -73.77576 40.74337, -73.77286 40.73628, -73.77011 40.73178, -73.77153 40.73152, -73.77355 40.73607, -73.77539 40.73553, -73.77584 40.73649, -73.77693 40.73568, -73.78025 40.73473, -73.7804 40.73399, -73.78821 40.73136, -73.80041 40.72837, -73.81089 40.72717, -73.81228 40.73222, -73.81069 40.73368, -73.81257 40.73454, -73.81239 40.73707, -73.81048 40.73699, -73.80941 40.7386, -73.81013 40.74229, -73.81431 40.74297, -73.81416 40.74614)))",20.66,8.59,2.1
"11205",58872,46843,12497,5040,1454,16459,26.41,21828,0.07,4.06,4.86,21548,13.09,58.4,4.89,52.39,0.52,0.22,0.49,5.23,15.55,6.77,8.26,89,1164,842,11,17.38,44.29,28.44,0.31,6.33,460,65.03,33.75,29.5,"MULTIPOLYGON (((-73.98022 40.70306, -73.97923 40.70577, -73.97616 40.70217, -73.97532 40.703, -73.97588 40.70193, -73.97555 40.69921, -73.97359 40.70043, -73.97331 40.69794, -73.96577 40.69764, -73.96284 40.69804, -73.96105 40.69833, -73.95702 40.69897, -73.95337 40.6994, -73.95181 40.6916, -73.95144 40.68976, -73.95713 40.68846, -73.95727 40.68919, -73.96001 40.68888, -73.96029 40.69035, -73.96519 40.68978, -73.96481 40.68833, -73.97076 40.68764, -73.97214 40.68958, -73.97269 40.68742, -73.97313 40.68962, -73.97386 40.69329, -73.98014 40.69468, -73.98054 40.69825, -73.98022 40.70306)))",37.44,4.5,0.98
