"STATION","NAME","DATE","AWND","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-01","10.74","0.00","0.0","1.2","-2","1","-9","  310","  310","17.0","23.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-02","11.18","0.00","0.0","1.2","-2","8","-9","  220","  230","21.9","30.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-03","12.30","0.00","0.1","1.2","11","17","6","  330","  220","21.0","27.1","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-04","12.30","0.00","0.0","1.2","7","12","0","  330","  330","19.9","23.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-05","10.74","0.00","0.0","1.2","5","11","-1","  320","  330","19.9","23.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-06","6.49","0.00","0.0","1.2","5","17","-2","  200","  170","14.1","17.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-07","14.99","0.03","0.0","1.0","17","33","8","  210","  210","23.9","32.0","    1",,,"    1",,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-08","11.86","0.00","0.0","1.2","34","37","31","  250","  250","18.1","23.9","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-09","6.04","0.00","0.0","0.0","31","36","26","  160","  170","14.1","18.1","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-10","15.88","0.01","0.0","0.0","37","56","30","  210","  210","31.1","42.1","    1",,,,,"    1",,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-11","16.33","0.36","0.0","0.0","56","59","23","  220","  190","28.0","36.0","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-12","19.91","0.00","0.0","0.0","23","23","14","  360","   10","29.1","36.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-13","9.84","0.00","0.0","0.0","13","16","6","  340","  340","23.0","27.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-14","9.40","0.08","0.8","0.0","12","21","5","  160","  170","21.9","29.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-15","10.96","0.14","2.3","2.0","19","24","10","  170","  170","17.0","21.9","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-16","11.86","0.01","0.6","3.1","15","26","9","  330","  320","18.1","21.9","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-17","12.30","0.00","0.0","3.1","13","20","4","  240","  240","25.1","32.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-18","14.99","0.00","0.0","2.0","21","32","16","  220","  240","21.9","28.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-19","16.78","0.00","0.0","2.0","32","40","28","  210","  230","25.9","34.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-20","8.28","0.00","0.0","0.0","39","45","32","  220","  220","15.0","21.9","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-21","3.80","0.00","0.0","0.0","40","44","36","  120","  180","8.1","11.0","    1","    1",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-22","12.53","0.81","0.0","0.0","47","54","38","  250","  250","23.9","35.1","    1","    1","    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-23","12.75","0.07","0.5","0.0","35","39","28","  320","  320","21.0","28.0","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-24","6.49","0.02","0.3","1.2","29","30","27","  340","  260","13.0","16.1",,,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-25","9.62","0.00","0.0","1.2","31","43","24","  170","  170","19.9","21.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-26","18.57","0.00","0.0","0.0","41","51","33","  200","  180","32.0","40.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-27","12.30","0.00","0.0","0.0","47","50","36","  210","  210","31.1","42.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-28","8.72","0.01","0.0","0.0","35","40","28","   20","   20","18.1","23.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-29","12.08","0.00","0.0","0.0","27","30","17","  350","  350","21.0","25.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-30","10.51","0.00","0.0","0.0","21","31","15","  170","  170","25.9","34.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-01-31","13.87","0.00","0.0","0.0","35","42","31","  190","  180","25.1","34.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-01","15.43","0.00","0.0","0.0","28","35","8","  310","  320","25.9","34.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-02","10.29","0.00","0.0","0.0","11","22","5","  220","  220","17.0","21.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-03","13.20","0.03","0.8","0.0","26","41","22","  220","  230","28.0","36.9","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-04","13.42","0.08","1.1","1.2","26","35","4","  340","  350","23.9","31.1","    1",,,,,,,"    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-05","6.93","0.22","2.2","2.0","6","12","-3","  220","  250","14.1","18.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-06","5.37","0.02","0.2","3.9","12","21","3","  340","  290","12.1","15.0","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-07","9.40","0.11","1.7","3.9","17","20","8","  290","  290","17.0","21.9","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-08","6.93","0.15","1.6","3.9","13","21","7","  240","  250","13.0","16.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-09","10.74","0.57","6.2","7.9","24","28","18","   20","   30","21.0","25.1","    1",,,,,,"    1","    1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-10","9.62","0.05","0.8","9.8","19","22","14","  350","  350","17.0","21.9","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-11","10.07","0.39","3.7","11.8","20","22","11","  340","  340","16.1","19.9","    1","    1",,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-12","6.26","0.00","0.0","11.8","15","27","4","  340","  340","13.0","15.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-13","6.26","0.00","0.0","11.0","20","35","7","  180","  190","14.1","16.1",,,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-14","9.62","0.00","0.0","9.8","32","44","24","  220","  220","16.1","21.0","    1","    1",,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-15","6.26","0.00","0.0","3.9","41","48","38","   40","  350","15.0","19.0","    1","    1",,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-16","10.07","0.00","0.0","0.0","36","37","20","  340","  340","19.9","27.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-17","8.50","0.11","2.0","0.0","25","35","17","  270","  280","17.0","23.0","    1","    1",,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-18","10.74","0.02","0.0","2.0","27","41","12","  150","  180","21.0","25.9","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-19","12.08","0.52","0.0","0.0","42","60","37","  200","  210","23.9","33.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-20","13.20","2.10","0.0","0.0","59","66","34","  190","  200","25.1","33.1","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-21","10.96","0.04","0.0","0.0","32","34","27","  330","  320","18.1","21.9",,,,"    1",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-22","13.20","0.00","0.0","0.0","33","40","29","  120","  110","21.9","25.9","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-23","9.40","0.06","0.0","0.0","40","44","33","  270","  260","19.9","27.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-24","13.20","0.16","0.0","0.0","36","50","33","  120","  110","25.1","33.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-25","17.90","0.01","0.0","0.0","40","50","34","  260","  270","32.0","46.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-26","8.72","0.00","0.0","0.0","40","53","28","  230","  220","21.0","29.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-27","13.87","0.00","0.0","0.0","48","62","39","  200","  190","23.0","30.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-02-28","11.18","0.00","0.0","0.0","51","59","37","   20","   40","19.9","25.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-01","14.54","0.81","0.0","0.0","39","46","34","   10","   10","25.1","33.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-02","6.26","0.00","0.0","0.0","38","48","30","  100","  100","13.0","15.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-03","7.83","0.00","0.0","0.0","38","43","33","   70","  100","15.0","18.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-04","12.30","0.00","0.0","0.0","38","46","32","  120","  120","21.9","28.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-05","17.45","0.11","0.4","0.0","37","40","33","  110","  120","28.0","36.9","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-06","8.72","0.07","0.0","0.0","35","41","31","  330","  320","23.0","28.0","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-07","13.65","0.00","0.0","0.0","31","34","25","  320","  330","21.9","28.0","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-08","11.18","0.00","0.0","0.0","28","34","24","  330","  310","21.0","23.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-09","6.49","0.00","0.0","0.0","30","41","23","  320","  320","14.1","21.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-10","5.59","0.00","0.0","0.0","33","41","23","   90","  100","13.0","17.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-11","8.28","0.00","0.0","0.0","34","40","28","   50","   70","18.1","21.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-12","11.41","0.00","0.0","0.0","37","46","30","  340","  340","23.9","31.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-13","10.74","0.22","2.2","0.0","32","35","19","  360","  360","19.9","23.9","    1","    1",,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-14","10.96","0.00","0.0","1.2","30","48","22","  250","  250","25.9","32.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-15","9.17","0.00","0.0","0.0","40","50","28","   30","  320","16.1","27.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-16","10.96","0.00","0.0","0.0","32","38","29","   30","   30","18.1","21.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-17","10.07","0.00","0.0","0.0","37","46","30","   40","   50","19.9","23.9",,,,"    1",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-18","4.70","0.00","0.0","0.0","40","57","27","   40","  210","10.1","14.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-19","15.21","0.00","0.0","0.0","41","46","33","   30","   30","28.0","35.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-20","17.00","0.00","0.0","0.0","33","37","29","   10","   20","25.9","32.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-21","10.51","0.00","0.0","0.0","33","40","25","  360","   30","21.0","25.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-22","6.93","0.00","0.0","0.0","34","50","22","  110","  110","15.0","18.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-23","9.17","0.00","0.0","0.0","36","43","25","   50","   40","17.0","21.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-24","17.45","0.00","0.0","0.0","36","40","32","   90","   90","28.0","38.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-25","14.09","0.00","0.0","0.0","34","41","27","  100","  100","21.0","25.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-26","9.62","0.23","0.0","0.0","39","53","31","  150","  140","21.9","27.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-27","9.40","0.15","0.0","0.0","49","51","39","  300","  210","16.1","21.9","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-28","4.47","0.01","0.0","0.0","45","54","39","   60","   60","13.0","15.0","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-29","8.95","0.05","0.0","0.0","45","50","35","   30","   20","21.9","27.1","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-30","7.83","0.00","0.0","0.0","39","49","33","  240","  240","16.1","19.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-03-31","15.88","0.09","0.0","0.0","44","58","32","  210","  210","30.0","40.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-01","7.83","0.00","0.0","0.0","32","35","24","  340","  340","17.0","19.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-02","6.93","0.00","0.0","0.0","32","44","21","  100","  100","16.1","19.9",,,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-03","12.08","0.20","0.0","0.0","39","40","34","   20","   10","21.0","25.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-04","15.21","0.01","0.2","0.0","32","35","26","  300","  300","28.0","35.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-05","7.38","0.07","0.0","0.0","32","42","23","  210","  190","17.0","21.0","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-06","14.32","0.00","0.0","0.0","35","38","25","  290","  310","28.0","34.0","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-07","8.95","0.00","0.0","0.0","28","39","20","  320","  300","18.1","25.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-08","6.93","0.01","0.0","0.0","31","39","21","   70","  100","15.0","17.0","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-09","6.04","0.13","2.0","1.2","33","39","30","   50","   30","12.1","14.1","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-10","8.50","0.00","0.0","0.0","36","46","28","  250","  230","15.0","21.0","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-11","9.84","0.05","0.0","0.0","48","66","39","  240","  240","18.1","23.9","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-12","14.09","0.03","0.0","0.0","56","73","42","  250","  230","25.1","35.1","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-13","13.20","0.07","0.0","0.0","43","47","39","   40","   40","33.1","40.9","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-14","21.03","0.96","0.0","0.0","39","39","36","   60","   30","31.1","40.9","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-15","13.65","0.74","0.2","0.0","35","37","28","   60","   40","23.9","30.0","    1",,,"    1",,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-16","14.99","0.01","0.3","0.0","31","35","27","  300","  300","23.9","31.1","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-17","11.18","0.00","0.0","0.0","35","43","29","  320","  300","21.9","25.9",,,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-18","11.63","0.41","0.4","0.0","35","37","30","   80","   80","25.1","32.0","    1",,,"    1",,"    1","    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-19","9.84","0.01","0.1","0.0","39","55","31","  330","   20","15.0","21.9","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-20","4.92","0.00","0.0","0.0","47","61","31","   90","  100","15.0","19.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-21","3.80","0.00","0.0","0.0","47","55","39","  100","  100","14.1","16.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-22","10.51","0.00","0.0","0.0","50","62","42","   60","   90","18.1","23.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-23","11.86","0.00","0.0","0.0","51","63","43","   20","   10","19.9","23.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-24","8.50","0.00","0.0","0.0","55","65","48","  360","  360","19.9","25.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-25","13.87","0.00","0.0","0.0","49","53","38","   10","   20","30.0","36.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-26","3.80","0.00","0.0","0.0","48","66","36","  260","  260","14.1","18.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-27","13.87","0.02","0.0","0.0","53","58","39","  350","  350","29.1","34.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-28","12.30","0.00","0.0","0.0","42","50","33","   30","   30","21.9","25.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-29","6.71","0.00","0.0","0.0","43","59","31","   90","   90","14.1","16.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-04-30","12.53","0.00","0.0","0.0","56","80","40","  200","  190","21.0","28.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-01","15.43","0.00","0.0","0.0","72","86","60","  190","  190","29.1","36.0",,,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-02","12.30","1.32","0.0","0.0","77","86","63","  300","  300","36.0","47.0","    1",,"    1",,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-03","7.16","0.57","0.0","0.0","64","70","54","  200","  200","23.9","36.9","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-04","14.32","0.00","0.0","0.0","65","74","61","  270","  260","33.1","47.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-05","8.50","0.00","0.0","0.0","70","82","57","   20","  290","21.9","25.1",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-06","9.84","0.00","0.0","0.0","62","68","50","   20","   40","21.9","25.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-07","5.59","0.00","0.0","0.0","59","75","46","  110","  120","15.0","19.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-08","6.93","0.00","0.0","0.0","69","81","57","  120",,"14.1",,,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-09","13.42","0.25","0.0","0.0","70","81","57","  200","  200","25.9","34.0",,,"    1",,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-10","9.17","0.00","0.0","0.0","66","73","50","   30","   40","18.1","21.9",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-11","14.99","0.04","0.0","0.0","52","52","45","   60","   50","23.0","28.0",,,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-12","12.53","0.33","0.0","0.0","46","50","44","   30","   30","21.9","25.1","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-13","6.26","0.91","0.0","0.0","52","67","45","   40","   40","18.1","21.0","    1",,"    1",,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-14","8.28","1.54","0.0","0.0","62","83","53","  300","  290","23.9","38.0","    1",,"    1",,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-15","10.96","0.00","0.0","0.0","64","71","51","   10","   30","21.9","28.0","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-16","5.37","0.00","0.0","0.0","62","79","47","   60","   70","15.0","18.1",,,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-17","9.17","0.00","0.0","0.0","63","69","52","   30","   20","19.9","23.0",,,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-18","10.96","0.10","0.0","0.0","57","65","52","   30","   10","17.0","23.0","    1",,,,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-19","5.37","0.02","0.0","0.0","60","69","54","   30","   40","23.0","25.9","    1",,,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-20","13.65","0.27","0.0","0.0","51","55","44","   30","   30","23.9","28.0","    1",,"    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-21","6.26","1.96","0.0","0.0","53","64","49","  220","  220","18.1","23.0","    1","    1","    1",,,,,
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-22","4.70","0.00","0.0","0.0","59","67","54","   50","   50","14.1","15.0","    1","    1",,,,,"    1",
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-23","4.03","0.00","0.0","0.0","64","80","52","   90","  100","13.0","16.1","    1",,,,,,"    1",
