STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,REPORT_TYPE,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyMaximumDryBulbTemperature,DailyPrecipitation,DailySnowDepth,DailySnowfall,Sunrise,Sunset,daylight_time
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-01,5.59,,0.0,0.0,0.0,,33,24,,280.0,300.0,14.1,23.0,,,,,,,,SOD  ,13.0,29.0,51.0,24.0,5.6,33.0,0.0,0.0,0.0,07:20:00,16:39:00,559
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-02,12.3,,0.33,3.1,0.0,,33,18,,50.0,50.0,21.0,28.0,,,,,,,,SOD  ,19.0,26.0,76.0,24.0,12.2,33.0,0.33,0.0,3.1,07:20:00,16:40:00,560
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-03,10.51,,0.29,3.3,5.9,,18,9,,360.0,310.0,21.0,29.1,1.0,,,,,,,SOD  ,1.0,14.0,59.0,11.0,10.4,18.0,0.29,6.0,3.3,07:20:00,16:41:00,561
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-04,4.92,,0.0,0.0,5.9,,29,8,,260.0,240.0,8.9,19.9,,,,,,,,SOD  ,2.0,19.0,48.0,15.0,4.8,29.0,0.0,6.0,0.0,07:20:00,16:42:00,562
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-05,3.8,,0.14,0.0,3.9,,40,27,,70.0,240.0,6.9,17.0,,,,,,,,SOD  ,28.0,34.0,82.0,31.0,3.7,40.0,0.14,4.0,0.0,07:20:00,16:43:00,563
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-06,8.5,,0.36,0.0,1.2,,55,19,,290.0,300.0,18.1,29.1,,,,,,,,SOD  ,34.0,37.0,71.0,40.0,8.5,55.0,0.36,1.0,0.0,07:20:00,16:44:00,564
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-07,13.2,,0.0,0.0,0.0,,19,4,,280.0,270.0,23.0,38.0,,,,,,,,SOD  ,-11.0,12.0,39.0,5.0,13.1,19.0,0.0,0.0,0.0,07:20:00,16:44:00,564
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-08,7.16,,0.0,0.0,0.0,,22,9,,290.0,290.0,15.0,23.0,,,,,,,,SOD  ,-2.0,16.0,43.0,11.0,7.1,22.0,0.0,0.0,0.0,07:20:00,16:45:00,565
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-09,2.91,,0.0,0.0,0.0,,32,22,,350.0,320.0,12.1,16.1,,,,,,,,SOD  ,8.0,27.0,45.0,22.0,2.9,32.0,0.0,0.0,0.0,07:20:00,16:46:00,566
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-10,3.36,,0.11,0.0,0.0,,37,30,,50.0,160.0,8.1,11.0,,,,,,,,SOD  ,27.0,34.0,79.0,31.0,3.4,37.0,0.11,0.0,0.0,07:20:00,16:47:00,567
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-11,7.16,,0.5,0.0,0.0,,58,37,,180.0,170.0,17.0,28.0,1.0,,,,,,,SOD  ,49.0,48.0,91.0,50.0,7.1,58.0,0.5,0.0,0.0,07:20:00,16:49:00,569
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-12,8.28,,0.05,0.0,0.0,,54,38,,290.0,290.0,19.9,31.1,1.0,,,,,,,SOD  ,28.0,46.0,53.0,38.0,8.2,54.0,0.05,0.0,0.0,07:19:00,16:50:00,571
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-13,5.14,,0.0,0.0,0.0,,51,37,,180.0,170.0,14.1,23.9,,,,,,,,SOD  ,31.0,44.0,60.0,39.0,5.2,51.0,0.0,0.0,0.0,07:19:00,16:51:00,572
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-14,4.92,,0.38,0.0,0.0,,52,44,,230.0,250.0,13.0,21.9,1.0,,,,,,,SOD  ,41.0,48.0,79.0,45.0,5.0,52.0,0.38,0.0,0.0,07:19:00,16:52:00,573
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-15,2.91,,0.0,0.0,0.0,,47,39,,160.0,190.0,12.1,17.0,,,,,,,,SOD  ,,43.0,85.0,,3.0,47.0,0.0,0.0,0.0,07:18:00,16:53:00,575
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-16,4.03,,0.0,0.0,0.0,,42,36,,10.0,50.0,10.1,14.1,,,,,,,,SOD  ,,39.0,72.0,,4.0,42.0,0.0,0.0,0.0,07:18:00,16:54:00,576
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-17,3.58,,0.0,0.0,0.0,,44,33,,170.0,180.0,12.1,19.0,,,,,,,,SOD  ,,39.0,53.0,,3.6,44.0,0.0,0.0,0.0,07:17:00,16:55:00,578
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-18,7.16,,0.07,0.0,0.0,,41,29,,290.0,300.0,15.0,25.1,,,,,,,,SOD  ,,35.0,70.0,,7.2,41.0,0.07,0.0,0.0,07:17:00,16:56:00,579
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-19,7.38,,0.0,0.0,0.0,,38,24,,260.0,250.0,21.0,34.0,,,,,,,,SOD  ,,31.0,56.0,,7.3,38.0,0.0,0.0,0.0,07:16:00,16:57:00,581
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-20,7.38,,0.0,0.0,0.0,,46,31,,270.0,280.0,17.0,30.0,,,,,,,,SOD  ,,39.0,50.0,,7.4,46.0,0.0,0.0,0.0,07:16:00,16:59:00,583
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-21,10.51,,0.46,11.0,0.0,,31,11,,30.0,40.0,19.9,30.0,,,,,,,,SOD  ,,21.0,70.0,,10.4,31.0,0.46,0.0,11.0,07:15:00,17:00:00,585
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-22,8.72,,0.02,0.5,11.0,,17,5,,360.0,350.0,21.9,30.0,,,,,,,,SOD  ,,11.0,52.0,,8.8,17.0,0.02,11.0,0.5,07:15:00,17:01:00,586
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-23,7.16,,0.0,0.0,7.1,,20,7,,290.0,280.0,16.1,25.9,,,,,,,,SOD  ,,14.0,51.0,,7.2,20.0,0.0,7.0,0.0,07:14:00,17:02:00,588
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-24,8.05,,0.0,0.0,5.9,,20,10,,250.0,240.0,17.0,30.0,,,,,,,,SOD  ,,15.0,43.0,,8.1,20.0,0.0,6.0,0.0,07:13:00,17:03:00,590
